NAVG	The Navigators Group
NAVR	Navarre Corp.
NBBC	Newbridge Bancorp
NBIX	Neurocrine Biosciences
NBN	Northeast Bancorp
NBTB	Nbt Bancorp Inc.
NBTF	NB&T Financial Group Inc
NBXH	Morgan Stanley - Morgan Stanley 9% Targeted Inco
NCBC	New Century Bancorp Inc. [Nc]
NCIT	Nci
NCMI	National Cinemedia
NCTY	The9 Limited
NDAQ	The Nasdaq Omx Group
NDSN	Nordson Corp.
NEBS	New England Bancshares
NECB	Northeast Community Bancorp
NEI	Network Engines Inc
NEOG	Neogen Corp.
NEPT	Neptune Technologies & Bioresources Inc
NETC	Net Servicos De Comunicacao S.A.
NETL	Netlogic Microsystems
NEWL	Newlead Holdings Ltd
NEWP	Newport Corp.
NEWS	Newstar Financial
NEWT	Newtek Business Services Inc.
NEXS	Nexxus Lighting
NFBK	Northfield Bancorp
NFEC	Nf Energy Saving Corp.
NFLX	Netflix
NFSB	Newport Bancorp
NGPC	Ngp Capital Resources Company
NGSX	Neurogesx
NHTB	New Hampshire Thrift Bancshares
NICE	Nice-Systems Limited
NICK	Nicholas Financial
NIHD	Nii Holdings
NILE	Blue Nile
NINE	Ninetowns Internet Technology Group
NKBP	China Nuokang Bio-Pharmaceutical Inc.
NKSH	National Bankshares
NKTR	Nektar Therapeutics
NLST	Netlist
NMARU	Nautilus Marine Acquisition Cor
NMARW	Nautilus Marine Acquisition Cor
NMRX	Numerex
NNBR	Nnunknown
NOBH	Nobility Homes
NOIZ	Micronetics
NOOF	New Frontier Media
NOVB	North Valley Bancorp
NPBC	National Penn Bancshares
NPBCO	National Penn Bancshares
NPSP	Nps Pharmaceuticals
NRCI	National Research Corp.
NRIM	Northrim Bancorp Inc
NSEC	National Security Group
NSFC	Northern States Financial Corp.
NSIT	Insight Enterprises
NSPH	Nanosphere
NSSC	Napco Security Technologies
NSTC	Ness Technologies
NSYS	Nortech Systems Inc.
NTAP	Netapp
NTCT	Netscout Systems
NTES	Netease.Com
NTGR	Netgear
NTIC	Northern Technologies International Corp.
NTLS	Ntelos Holdings
NTRI	Nutrisystem Inc
NTRS	Northern Trust Corp.
NTSC	National Technical Systems
NTSP	Netspend Holdings
NTWK	Netsol Technologies Inc.
NUAN	Nuance Communications
NUCL	S&P Global Nuclear
NURO	NeuroMetrix Inc.
NUROD	Neurometrix
NUTR	Nutraceutical International Corp.
NUVA	Nuvasive
NVAX	Novavax
NVDA	Nvidia Corp.
NVEC	Nve Corp.
NVGN	Novogen Limited
NVLS	Novellus Systems
NVMI	Nova Measuring Instruments Ltd
NVSL	Naugatuck Valley Financial Corp.
NVTL	Novatel Wireless
NWBI	Northwest Bancshares
NWFL	Norwood Financial
NWK	Network Equipment Technologies
NWLI	National Western Life Insurance
NWPX	Northwest Pipe Company
NWS	News Corp.
NWSA	News Corp.
NXPI	Nxp Semiconductors N.V.
NXST	Nexstar Broadcasting Group
NXTM	Nxstage Medical
NYMT	New York Mortgage Trust
NYMX	Nymox Pharmaceutical Corp.
NYNY	Empire Resorts
OABC	Omniamerican Bancorp
OBAF	Oba Financial Services
OBAS	Optibase Ltd
OBCI	Ocean Bio-Chem
OCC	Optical Cable Corp.
OCFC	Oceanfirst Financial
OCLR	Oclaro
OCLS	Oculus Innovative Sciences
OCNF	Oceanfreight Inc.
OCZ	Ocz Technology Group Inc
ODFL	Old Dominion Freight Line
OFED	Oconee Federal Financial
OFIX	Orthofix International N.V.
OFLX	Omega Flex
OGXI	Oncogenex Pharmaceuticals Inc.
OIIM	O2Micro International Limited
OINK	Tianli Agritech
OKSB	Southwest Bancorp
OKSBP	Southwest Bancorp
OLBK	Old Line Bancshares
OLCB	Ohio Legacy Corp.
OMAB	Grupo Aeroportuario Del Centro
OMCL	Omnicell
OMER	Omeros Corp.
OMEX	Odyssey Marine Exploration
OMPI	Obagi Medical Products
